episode,timestamp,eps,alphaCap,total_reward,win,steps,episode_duration_s,q_max,q_mean
197,2026-05-12T21:11:37.118,0.545825,0.000995,-1.600000,0,1,3.031,1.503783,0.022630
198,2026-05-12T21:11:41.065,0.545550,0.000995,-1.500000,0,1,3.175,1.317369,0.016212
199,2026-05-12T21:11:44.946,0.545275,0.000995,-1.600000,0,1,3.113,1.293230,0.009415
200,2026-05-12T21:11:48.889,0.545000,0.000995,-1.000000,0,1,3.112,1.267855,0.002724
201,2026-05-12T21:11:52.597,0.544725,0.000995,-1.600000,0,1,2.913,1.225415,-0.003746
202,2026-05-12T21:11:56.295,0.544450,0.000995,-1.000000,0,1,2.888,1.182151,-0.009950
203,2026-05-12T21:12:00.119,0.544175,0.000995,-1.000000,0,1,3.050,1.144815,-0.016554
204,2026-05-12T21:12:03.973,0.543900,0.000995,-1.000000,0,1,2.997,1.099872,-0.023304
205,2026-05-12T21:12:07.920,0.543625,0.000995,-1.600000,0,1,3.144,1.071918,-0.030329
206,2026-05-12T21:12:11.566,0.543350,0.000995,-1.600000,0,1,2.844,1.103374,-0.037474
207,2026-05-12T21:12:15.387,0.543075,0.000994,-1.600000,0,1,3.023,1.130204,-0.044960
208,2026-05-12T21:12:19.276,0.542800,0.000994,-1.600000,0,1,3.079,1.146662,-0.052879
209,2026-05-12T21:12:23.248,0.542525,0.000994,-1.000000,0,1,3.112,1.163476,-0.060860
210,2026-05-12T21:12:27.101,0.542250,0.000994,-1.000000,0,1,3.043,1.179105,-0.069139
211,2026-05-12T21:12:30.919,0.541975,0.000994,-1.000000,0,1,3.069,1.191444,-0.077632
212,2026-05-12T21:12:34.750,0.541700,0.000994,-1.500000,0,1,3.036,1.190349,-0.086327
213,2026-05-12T21:12:38.377,0.541425,0.000994,-1.000000,0,1,2.839,1.222260,-0.094655
214,2026-05-12T21:12:42.211,0.541150,0.000994,-2.000000,0,1,3.054,1.254649,-0.102704
215,2026-05-12T21:12:46.128,0.540875,0.000994,-2.000000,0,1,3.127,1.269093,-0.110768
216,2026-05-12T21:12:49.952,0.540600,0.000994,-1.500000,0,1,3.010,1.256411,-0.118878
217,2026-05-12T21:12:53.815,0.540325,0.000994,-1.600000,0,1,3.066,1.246163,-0.126653
218,2026-05-12T21:12:57.583,0.540050,0.000994,-2.000000,0,1,2.975,1.244053,-0.134234
219,2026-05-12T21:13:01.577,0.539775,0.000994,-1.600000,0,1,3.186,1.269226,-0.141896
220,2026-05-12T21:13:05.422,0.539500,0.000994,-1.600000,0,1,3.019,1.284256,-0.149380
221,2026-05-12T21:13:09.083,0.539225,0.000994,-1.600000,0,1,2.839,1.298061,-0.156687
222,2026-05-12T21:13:12.964,0.538950,0.000994,-2.000000,0,1,3.067,1.307992,-0.163887
223,2026-05-12T21:13:17.027,0.538675,0.000994,-2.000000,0,1,3.263,1.315855,-0.170936
224,2026-05-12T21:13:20.650,0.538400,0.000994,-1.600000,0,1,2.857,1.326544,-0.177680
225,2026-05-12T21:13:24.474,0.538125,0.000994,-1.600000,0,1,3.027,1.336993,-0.184442
226,2026-05-12T21:13:28.376,0.537850,0.000994,-1.600000,0,1,3.063,1.347312,-0.191149
227,2026-05-12T21:13:32.310,0.537575,0.000994,-2.000000,0,1,3.162,1.355799,-0.197575
228,2026-05-12T21:13:36.208,0.537300,0.000994,-2.000000,0,1,3.098,1.343743,-0.204025
229,2026-05-12T21:13:40.135,0.537025,0.000994,-2.000000,0,1,3.065,1.333696,-0.210110
230,2026-05-12T21:13:44.008,0.536750,0.000994,-1.600000,0,1,3.071,1.313643,-0.215774
231,2026-05-12T21:13:47.862,0.536475,0.000994,-1.600000,0,1,3.066,1.306731,-0.221150
232,2026-05-12T21:13:51.750,0.536200,0.000994,-1.600000,0,1,3.085,1.303288,-0.226295
233,2026-05-12T21:13:55.516,0.535925,0.000994,-1.600000,0,1,2.963,1.346651,-0.231496
234,2026-05-12T21:13:59.298,0.535650,0.000994,-1.000000,0,1,3.014,1.381177,-0.236539
235,2026-05-12T21:14:02.984,0.535375,0.000994,-1.600000,0,1,2.931,1.417092,-0.241738
236,2026-05-12T21:14:04.801,0.535100,0.000994,0.800000,0,2,1.027,1.976483,-0.237326
237,2026-05-12T21:14:08.618,0.534825,0.000994,-1.600000,0,1,2.929,1.536023,-0.257757
238,2026-05-12T21:14:12.387,0.534550,0.000994,-1.600000,0,1,2.908,1.581980,-0.263279
239,2026-05-12T21:14:14.253,0.534275,0.000994,0.800000,0,2,1.063,1.989538,-0.261824
240,2026-05-12T21:14:16.128,0.534000,0.000994,0.800000,0,2,1.055,1.999949,-0.274617
241,2026-05-12T21:14:19.766,0.533725,0.000994,-1.600000,0,1,2.841,1.829087,-0.293044
242,2026-05-12T21:14:21.578,0.533450,0.000994,0.800000,0,2,1.037,2.019861,-0.294979
243,2026-05-12T21:14:23.423,0.533175,0.000994,0.900000,0,2,1.039,2.032705,-0.309101
244,2026-05-12T21:14:27.104,0.532900,0.000993,-1.500000,0,1,2.830,2.100546,-0.325094
